Botanical correlations,Status of correlation,Discussions on its identity by experts with reference,S. No,English,Sanskrit,Diacritical
Achyranthes aspera Linn.,Accepted source,Identified with it,79,Apamarga,अपामार्ग,apāmārga
Achyranthes aspera Linn.,Accepted source,Identified with it,79,Apamarga,अपामार्ग,apāmārga
Pupalia lappacea Moq.,Suggested source,Needs to be examined,80,Apamarga - gauradanda,अपामार्ग गौरदण्ड,apāmārga gauradaṇḍa
Achyranthes aspera,Accepted source,This plant has been mentioned as variety of 'Apamarga' in Dhanvantari nighantu and in Bhavaprakasa; It is considered inferior in quality when compared to the white variety; It is identified with this species,81,Apamarga - raktapuspi,अपामार्ग रक्तपुष्पी,apāmārga raktapuṣpī
Clitorea ternatea.,Accepted source,Identified with this species,82,Aparajita,अपराजिता,aparājitā
Ocimum sp.,Controversial,Unspecified and believed to be some variety of Tulasi,83,Apetaraksasi,अपेतराक्षसी,apetarākṣasī
Cassia fistula Linn.,Accepted source,Identified with it,84,Aragvadha,आरग्वध,āragvadha
"Cassia fistula, Linn.",Accepted source,Identified with it,84,Aragvadha,आरग्वध,āragvadha
Ailanthus excelsa,Accepted source,Aralu is correlated to this species,85,Aralu,अरलु,aralu
Ailanthus excelsa Roxb.,Accepted source,Identified with it,85,Aralu,अरलु,aralu
Ailanthus excelsa Roxb.,Accepted source,"During earlier periods, 'Aralu' and 'Syonaka' were considered as 2 different drugs but during the medieval period, nighantus considered them as a single drug; This confusion was cleared in the present times where in they are considered as 2 different drugs; Aralu is identified with this species",85,Aralu,अरलु,aralu
Ailanthus excelsa Roxb.,Most probable,Aralu is identified with this species as it is popularly known as Arua in Mirzapore and has features similar to that as explained by Dalhana,85,Aralu,अरलु,aralu
Ailanthus malabarica DC.,Accepted source,This is a variety of A.excelsa found in the Western Ghats,86,Aralu - prajati,अरलु प्रजाति,aralu prajāti
Centratherum anthelminticum Kuntze.,Accepted source,Aranyajiraka is identified with this species,87,Aranyajiraka,अरण्यजीरक,araṇyajīraka
Zingiber cassumunar Roxb.,Accepted source,Ardrika' is not mentioned in Susruta samhita but cited in Astanga hridaya along with 'Ardraka' which shows that it is from the 'Ardraka' family; Some of them interpret 'Ardrika' as green coriander but this cannot hold true based on the above references; According to that it should be correlated to some species from Ardraka family and hence correlated to this species,88,Ardrika,अर्द्रिका,ardrikā
Cassia fistula,Controversial,Arevata is a highly controversial drug; As its mentioned as the synonym of Aragvadha this species is taken into consideration,89,Arevata,आरेवत,ārevata
Rheum emodi Wall.,Most probable,During the Pre samhita period this species was considered as Arevata but later on substituted with Aragvadha due to similarity in properties,89,Arevata,आरेवत,ārevata
Acacia leucophloea Willd.,Accepted source,Identified with it,90,Arimeda,अरिमेद,arimeda
Sapindus mukorossi Gaertn.,Suggested source 1,Identified with it,91,Aristaka,अरिष्टक,ariṣṭaka
Sapindus trifoliatus Linn.,Accepted source,Identified with it,91,Aristaka,अरिष्टक,ariṣṭaka
Sapindus trifoliatus Linn.,Suggested source 2,Identified with it,91,Aristaka,अरिष्टक,ariṣṭaka
Sapindus mukorossi Gaertn.,Accepted source,This is a variety of S.trifoliatus found in North India. called as soap nut tree of North India. Aristaka is identified with this species,92,Aristaka - prajati,अरिष्टक प्रजाति,ariṣṭaka prajāti
Orthosiphon pallidus Royle.,Accepted source,Cakrapani has interpreted 'Arjaka' as 'Svetaparnasa'; Dalhana has described it as a plant resembling 'Barbarika'; At other places it has been interpreted as 'Kuteraka' or 'Sveta kuteraka'; If 'Parnasa' and 'Kuteraka' are taken as synonyms of one another then the interpretation of Dalhana and Cakrapani can be considered the same; Arjaka is popularly known as 'Ajagura' and identified with this species,93,Arjaka,अर्जक,arjaka
Orthosiphon pallidus Royle.,Most probable,May be identified with this species with regard to its description and called as Sveta kutheraka,93,Arjaka,अर्जक,arjaka
Orthosiphon pallidus Royle.,Most probable,May be identified with this species and called as Sveta kutheraka,93,Arjaka,अर्जक,arjaka
Lagerstromcea flos-regina. ?,Controversial,This species is being used as Arjuna in some parts of India,94,Arjuna,अर्जुन,arjuna
Sterculia urens,Suggested source,This species was suggested to be used as Arjuna with regard to its resemblance in morphology,94,Arjuna,अर्जुन,arjuna
Terminalia Arjuna,Accepted source,Arjuna has been correlated to this species,94,Arjuna,अर्जुन,arjuna
Terminalia arjuna (Roxb.) W. & A.,Accepted source,Identified with it,94,Arjuna,अर्जुन,arjuna
Terminalia arjuna W. & A.,Accepted source,Identified with it,94,Arjuna,अर्जुन,arjuna
Terminalia arjuna W. & A.,Accepted source,It is identified with this species,94,Arjuna,अर्जुन,arjuna
Terminalia glabra,Most probable,According to an ancient author with regard to its morphology he has correlated this species with Arjuna; This is known as Arjuna in Gujarat,94,Arjuna,अर्जुन,arjuna
Terminalia tomentosa,Market source,The bark of Terminalia tomentosa is available in the market as Arjuna,94,Arjuna,अर्जुन,arjuna
Calotropis gigantia (Linn.),Accepted source,It is the white variety of Arka which is correlated to this,96,Arka - jati,अर्क जाति,arka jāti
Calotropis gigantia (Linn.),Accepted source,It is the white variety of Arka which is correlated to this,96,Arka - jati,अर्क जाति,arka jāti
Calotropis gigantia (Linn.),Accepted source,It is the white variety of Arka which is correlated to this,96,Arka - jati,अर्क जाति,arka jāti
Calotropis procera,Accepted source,Arka is correlated to this species,97,Arka - prakara,अर्क प्रकार,arka prakāra
Calotropis procera,Accepted source,Arka is correlated to this species,97,Arka - prakara,अर्क प्रकार,arka prakāra
Calotropis procera,Accepted source,Arka is correlated to this species,97,Arka - prakara,अर्क प्रकार,arka prakāra
Calotropis procera (Ait) R. Br.,Accepted source,Arka is identified with this species,95,Arka,अर्क,arka
Calotropis sp.,Accepted source,Identified with this species,95,Arka,अर्क,arka
Calotropis procera (Ait) R. Br.,Accepted source,Arka is identified with this species,95,Arka,अर्क,arka
Calotropis sp.,Accepted source,Identified with this species,95,Arka,अर्क,arka
Calotropis procera (Ait) R. Br.,Accepted source,Arka is identified with this species,95,Arka,अर्क,arka
Calotropis sp.,Accepted source,Identified with this species,95,Arka,अर्क,arka
Calotropis procera (Ait.) R. Br.,Accepted source,Identified with it,98,Arka - rakta,अर्क रक्त,arka rakta
Calotropis gigantea (Linn.) R.Br.ex Ait.,Accepted source,Identified with it,99,Arka - sveta,अर्क श्वेत,arka śveta
Tylophora indica (Burm.f.) Merr.,Most probable,May be identified with this plant,100,Arkaparni,अर्कपर्णी,arkaparṇī
Tylophora indica (Burm.f.) Merrill.,Accepted source,Arkaparni' is mentioned only in Susruta samhita and cited just once in this text; With regard to its morphology it’s a plant from the 'Arka' family; Nowadays this species is considered as 'Arkaparni',100,Arkaparni,अर्कपर्णी,arkaparṇī
Holostemma annulare K. Schum.,Accepted source,Identified with it,101,Arkapuspi,अर्कपुष्पी,arkapuṣpī
Holostemma rheedei Wall.,Accepted source,Arkapuspi has been mentioned just twice only in Susruta samhita; Dalhana in his commentary has described it as a creeper like 'Arkapatra' having latex with properties of rasayana; Its identified with this species,101,Arkapuspi,अर्कपुष्पी,arkapuṣpī
Acanthus ilicifolius Linn.,Suggested source,With regard to its description on morphological features this species was taken into regard,102,Arttagala,आर्तगल,ārtagala
Xanthium strumarium Linn.,Controversial,With regard to its description it was identified with this species but absence of distinct blue flowers is against this view.,102,Arttagala,आर्तगल,ārtagala
Xanthium strumarium Linn.,Controversial,With regard to its description given by Dalhana it was identified with this species but absence of distinct blue flowers is against this view.,102,Arttagala,आर्तगल,ārtagala
Prunus domestica Linn.,Accepted source,Identified with it,103,Aruka,आरुक,āruka
Prunus domestica Linn.,Accepted source,It is identified with this species,103,Aruka,आरुक,āruka
Prunus persica Batsch.,Accepted source,It is identified with this species,103,Aruka,आरुक,āruka
Prunus domestica Linn.,Accepted source,Identified with it,103,Aruka,आरुक,āruka
Prunus domestica Linn.,Accepted source,It is identified with this species,103,Aruka,आरुक,āruka
Prunus persica Batsch.,Accepted source,It is identified with this species,103,Aruka,आरुक,āruka
Prunus domestica Linn.,Accepted source,It is identified with this species,104,Aruka - prajati,आरुक प्रजाति,āruka prajāti
Prunus domestica Linn.,Accepted source,It is identified with this species,104,Aruka - prajati,आरुक प्रजाति,āruka prajāti
Bridelia montana,Controversial,This species is being used as Asana in Maharashtra,105,Asana,असन,asana
Bridelia sp.,Controversial,This plant has gummy exudation which is not found in this species,105,Asana,असन,asana
Pterocarpus marsupium Roxb.,Accepted source,Identified with it,105,Asana,असन,asana
Terminalia sp.,Controversial,This plant has gummy exudation which is not found in this species,105,Asana,असन,asana
Terminalia tomentosa,Accepted source,Asana is correlated to this species,105,Asana,असन,asana
Terminalia tomentosa,Substituted source,Balwant Singh correlates Pterocarpus marsupium as the real Bijaka or Asana and considers this species as a substitute for them,105,Asana,असन,asana
Terminalia tomentosa.,Most probable,Since long many Vaidyas consider this species as Asana,105,Asana,असन,asana
Terminalia tomentosa.,Suggested source,Asana and Bijaka have been given as synonyms where as they are 2 separate drugs; As Bijaka tree was found rarely and this species fornd profusely everywhere people have considered both as one and the same,105,Asana,असन,asana
Uraria picta Desv.,Most probable,May be identified with this species,106,Asanaparni,असनपर्णी,asanaparṇī
Canavalia gladiata (Jacq.) DC.,Accepted source,Identified with it; Mentioned in Raja nighantu under the 'Saka varga',107,Asisimbi,असिशिम्बी,asiśimbī
Elaeodendron glaucum Pers.,Accepted source,Identified with it,108,Asitamuskaka,असितमुष्कक,asitamuṣkaka
Bauhinia malabarica Roxb.,Controversial,"There is a controversy regarding this correlation as Asmantaka is latex bearing, fruits are palatable and used in prameha (diabetes), it is used for vamana (vomitting) but this species has none of the above properties",109,Asmantaka,अश्मन्तक,aśmantaka
Bauhinia racemosa Lam.,Controversial,"According to Cakrapani Asmantaka is 'Maluya' which is also called as 'Amlalota'; Amlalota resembles Kovidara and has sour leaves; Bauhinia species resemble Kovidara and so Amlalota is correlated to B.racemosa; Controversy arises as Asmantaka is latex bearing, fruits are palatable and used in prameha (diabetes), it is used for vamana (vomitting) but this species has none of the above properties",109,Asmantaka,अश्मन्तक,aśmantaka
